iter	Passed	Remaining
1260	2492688	1460822
1261	2494586	1458799
1262	2496384	1456718
1263	2498289	1454700
1264	2500161	1452663
1265	2502016	1450615
1266	2503900	1448586
1267	2505908	1446628
1268	2507818	1444613
1269	2510157	1442846
1270	2512488	1441073
1271	2514737	1439252
1272	2516865	1437361
1273	2518967	1435455
1274	2520949	1433481
1275	2523065	1431582
1276	2525129	1429654
1277	2527238	1427751
1278	2529293	1425817
1279	2531399	1423912
1280	2533601	1422060
1281	2535633	1420113
1282	2537786	1418233
1283	2539880	1416319
1284	2542007	1414424
1285	2544021	1412465
1286	2545855	1410407
1287	2547899	1408466
1288	2549874	1406486
1289	2552108	1404648
1290	2554227	1402747
1291	2556189	1400760
1292	2558387	1398901
1293	2560625	1397064
1294	2563040	1395323
1295	2565303	1393498
1296	2567441	1391604
1297	2569507	1389672
1298	2571472	1387684
1299	2573542	1385753
1300	2575524	1383775
1301	2577533	1381811
1302	2579482	1379815
1303	2581515	1377863
1304	2583461	1375866
1305	2585600	1373971
1306	2587612	1372008
1307	2589676	1370073
1308	2591653	1368092
1309	2593698	1366146
1310	2595826	1364244
1311	2597702	1362210
1312	2599861	1360323
1313	2601969	1358410
1314	2603965	1356438
1315	2606025	1354499
1316	2608063	1352549
1317	2610072	1350584
1318	2612054	1348604
1319	2614254	1346737
1320	2616191	1344734
1321	2618057	1342695
1322	2620112	1340752
1323	2622136	1338794
1324	2623962	1336735
1325	2625940	1334754
1326	2627971	1332799
1327	2629893	1330789
1328	2632070	1328908
1329	2634284	1327045
1330	2636407	1325136
1331	2638369	1323146
1332	2640434	1321207
1333	2642669	1319353
1334	2644773	1317434
1335	2646860	1315505
1336	2648990	1313598
1337	2651045	1311653
1338	2652989	1309653
1339	2654937	1307655
1340	2656927	1305678
1341	2658928	1303707
1342	2660928	1301735
1343	2662832	1299715
1344	2664909	1297781
1345	2667049	1295877
1346	2669284	1294018
1347	2671456	1292128
1348	2673607	1290228
1349	2675387	1288149
1350	2677159	1286067
1351	2679148	1284089
1352	2681126	1282105
1353	2683059	1280100
1354	2685019	1278108
1355	2687082	1276165
1356	2688970	1274139
1357	2690839	1272105
1358	2692808	1270117
1359	2694679	1268084
1360	2696716	1266129
1361	2698684	1264141
1362	2700603	1262130
1363	2702591	1260152
1364	2704499	1258137
1365	2706536	1256181
1366	2708505	1254194
1367	2710502	1252220
1368	2712465	1250230
1369	2714519	1248282
1370	2716602	1246347
1371	2718532	1244342
1372	2720589	1242395
1373	2722543	1240402
1374	2724547	1238430
1375	2726574	1236469
1376	2728493	1234459
1377	2730388	1232439
1378	2732443	1230491
1379	2734463	1228527
1380	2736547	1226591
1381	2738607	1224644
1382	2740714	1222719
1383	2742757	1220764
1384	2744751	1218788
1385	2746532	1216717
1386	2748476	1214719
1387	2750257	1212649
1388	2752342	1210713
1389	2754262	1208705
1390	2756096	1206659
1391	2758155	1204711
1392	2760015	1202677
1393	2761973	1200685
1394	2764050	1198746
1395	2765968	1196737
1396	2769536	1195440
1397	2773304	1194226
1398	2777115	1193028
1399	2780945	1191833
1400	2784787	1190640
1401	2788636	1189446
1402	2792496	1188254
